pair_id,student_file,teacher_file,total_dtw_cost,path_length,student_duration,perfect_match_avg_cost,perfect_match_max_cost
pair_0,20220408145911.wav,20220330100622.wav,188.74844636241033,402,4.2749999999999995,0.6469345138450502,1.6913043070494604
pair_1,20220421105734.wav,20220330101307.wav,244.53209300802095,534,6.57,0.5587379466585682,2.2487660959982434
pair_2,20220421112021.wav,20220330101101.wav,271.5456399043524,444,5.549999999999999,0.568864099760881,0.9899604408990479
pair_3,20220425105156.wav,20220330101317.wav,297.55291041105966,610,7.709999999999999,0.3741030841397295,1.3621464495602045
pair_4,20220425105348.wav,20220330101423.wav,368.75464920110517,688,7.800000000000001,0.3946119104392593,1.5134578156532081
pair_5,20220425105209.wav,20220330101326.wav,324.1241963860287,702,8.865,0.36958835235529786,1.0865038639603055
pair_6,20220407121244.wav,20220330101326.wav,342.30249309222165,663,8.579999999999998,0.3718548272085948,0.8796379743998347
pair_7,20220421105924.wav,20220330101414.wav,346.13523009394817,740,8.655000000000001,0.3714097831961664,1.4855429605999806
pair_8,20220407121317.wav,20220330101354.wav,440.0502957172282,809,10.32,0.26262199547816634,1.2225685357418055
pair_9,20220425105235.wav,20220330101345.wav,402.96800264748674,859,10.86,0.29057649262518975,1.2536632384659416
